Descrição;Média Mensal
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;3
Restaurantes e similares;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;1
Administração pública em geral;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Comércio atacadista de embalagens;1
Comércio varejista de móveis;1
Outras obras de engenharia civil não especificadas anteriormente;3
Condomínios prediais;1
Laboratórios clínicos;1
Fornecimento de alimentos preparados preponderantemente para empresas;6.285714286
Construção de rodovias e ferrovias;1
Fabricação de artefatos de joalheria e ourivesaria;1
Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente;1
Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente;1
Limpeza em prédios e em domicílios;3.75
Agenciamento de espaços para publicidade, exceto em veículos de comunicação;1
Restaurantes e similares;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Educação superior - graduação e pós-graduação;2
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Recuperação de materiais não especificados anteriormente;1.25
Limpeza em prédios e em domicílios;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;2.75
Educação infantil - pré-escola;34
Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação;1.7
Atividades de limpeza não especificadas anteriormente;1
Desenvolvimento de programas de computador sob encomenda;1
Comércio varejista de calçados;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Pesquisa e desenvolvimento experimental em ciências físicas e naturais;1
Manutenção e reparação de máquinas e equipamentos para uso geral não especificados anteriormente;9.2
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Atividades de organizações religiosas ou filosóficas;1
Instalação e manutenção de sistemas centrais de ar condicionado, de ventilação e refrigeração;1
Restaurantes e similares;1.8
Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de pessoas, peças e acessórios;1
Fabricação de embalagens de material plástico;1
Comércio varejista de materiais de construção em geral;1
Fabricação de produtos químicos orgânicos não especificados anteriormente;1
Comércio a varejo de motocicletas e motonetas novas;1
Construção de edifícios;5.916666667
Desenvolvimento e licenciamento de programas de computador não-customizáveis;1
Locação de mão-de-obra temporária;1
Atividades associativas não especificadas anteriormente;1
Fabricação de outros produtos alimentícios não especificados anteriormente;4
Comércio varejista de produtos farmacêuticos, com manipulação de fórmulas;4
Outras obras de engenharia civil não especificadas anteriormente;1
Atividades de condicionamento físico;5
Atividades de condicionamento físico;1
Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente;1
Produção de artefatos estampados de metal;4.230769231
Comércio varejista de calçados;1
Instalação e manutenção elétrica;1
Fabricação de artefatos de material plástico para outros usos não especificados anteriormente;1.454545455
Restaurantes e similares;2
Restaurantes e similares;1
Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação;1
Instalação e manutenção de sistemas centrais de ar condicionado, de ventilação e refrigeração;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1.2
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1.25
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Testes e análises técnicas;1
Comércio atacadista de artigos de armarinho;1
Locação de mão-de-obra temporária;4
Condomínios prediais;1
Incorporação de empreendimentos imobiliários;1
Comércio varejista de combustíveis para veículos automotores;1
Serviços de engenharia;1.142857143
Administração de obras;1
Comércio a varejo de motocicletas e motonetas novas;1
Serviços de engenharia;1
Comércio atacadista de produtos odontológicos;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis;1
Comércio a varejo de automóveis, camionetas e utilitários usados;2
Comércio varejista de calçados;1
Serviços advocatícios;1
Atividades de monitoramento de sistemas de segurança eletrônico;12
Locação de mão-de-obra temporária;1
Imunização e controle de pragas urbanas;5.2
Comércio varejista de doces, balas, bombons e semelhantes;1
Serviços de engenharia;1
Fabricação de móveis com predominância de madeira;10
Comércio varejista de artigos do vestuário e acessórios;1.5
Comércio atacadista de ferragens e ferramentas;1
Restaurantes e similares;10
Comércio varejista de artigos de joalheria;1
Lanchonetes, casas de chá, de sucos e similares;2
Comércio varejista de calçados;1.75
Comércio varejista de calçados;1
Estacionamento de veículos;1
Fabricação de vidro plano e de segurança;1
Atividades de cobranças e informações cadastrais;1
Comércio a varejo de peças e acessórios novos para veículos automotores;1
Comércio atacadista de bebidas não especificadas anteriormente;1
Representantes comerciais e agentes do comércio de mercadorias em geral não especializado;1
Comércio varejista de combustíveis para veículos automotores;1
Comércio varejista de combustíveis para veículos automotores;1
Comércio varejista de combustíveis para veículos automotores;1.25
Comércio varejista de combustíveis para veículos automotores;1.083333333
Comércio varejista de combustíveis para veículos automotores;1
Comércio varejista de combustíveis para veículos automotores;1
Comércio varejista de combustíveis para veículos automotores;1.111111111
Comércio varejista de combustíveis para veículos automotores;1
Comércio varejista de combustíveis para veículos automotores;1
Comércio varejista de combustíveis para veículos automotores;2.666666667
Comércio varejista de combustíveis para veículos automotores;1
Comércio varejista de combustíveis para veículos automotores;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;2
Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar;1
Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente;1.333333333
Lanchonetes, casas de chá, de sucos e similares;1
Condomínios prediais;5
Lavanderias;1
Lanchonetes, casas de chá, de sucos e similares;1
Atividades de rádio;2
Transporte rodoviário coletivo de passageiros, com itinerário fixo, interestadual;1.5
Comércio varejista de combustíveis para veículos automotores;1
Atividades de organizações religiosas ou filosóficas;1
Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente;1
Administração de obras;1
Restaurantes e similares;1.5
Ensino médio;1
Produção de laminados de alumínio;1
Reparação e manutenção de equipamentos de comunicação;1
Comércio varejista de calçados;1
Recuperação de sucatas de alumínio;1
Outras atividades auxiliares dos serviços financeiros não especificadas anteriormente;1
Fabricação de tecidos de malha;1
Atividades de limpeza não especificadas anteriormente;1
Gestão e administração da propriedade imobiliária;1
Holdings de instituições não-financeiras;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1.5
Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente;1
Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências;1
Marketing direto;1
Comércio varejista de artigos do vestuário e acessórios;1
Atividades de contabilidade;6
Fabricação de produtos de padaria e confeitaria com predominância de produção própria;4
Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente;1
Instalação e manutenção elétrica;1.666666667
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1.75
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;3
Locação de mão-de-obra temporária;2.5
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;5
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;5.111111111
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;3.666666667
Comércio varejista de combustíveis para veículos automotores;1.666666667
Comércio por atacado de caminhões novos e usados;1
Construção de edifícios;1
Limpeza em prédios e em domicílios;1
Atividade odontológica;1
Comércio varejista de artigos do vestuário e acessórios;2.5
Instalação e manutenção elétrica;1
Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas;1
Outras atividades de ensino não especificadas anteriormente;1
Serviços combinados de escritório e apoio administrativo;1
Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação;1
Atividades de condicionamento físico;1
Atividades de cobranças e informações cadastrais;1
Serviços combinados para apoio a edifícios, exceto condomínios prediais;1
Torrefação e moagem de café;2.333333333
Lanchonetes, casas de chá, de sucos e similares;1.333333333
Restaurantes e similares;1
Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal;4
Comércio varejista de material elétrico;1.928571429
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Preparação de massa de concreto e argamassa para construção;2
Lojas francas (Duty free) de aeroportos, portos e em fronteiras terrestres;1
Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes;1
Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes;1
Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes;1
Comércio a varejo de peças e acessórios novos para veículos automotores;5.75
Motéis;8
Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar, com atividade de fracionamento e acondicionamento associada;8
Imunização e controle de pragas urbanas;6
Corretores e agentes de seguros, de planos de previdência complementar e de saúde;1
Limpeza em prédios e em domicílios;1.272727273
Fabricação de estruturas metálicas;2
Instalação de máquinas e equipamentos industriais;1
Comércio varejista de calçados;1.5
Instituições de longa permanência para idosos;1
Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal;57.22222222
Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal;1
Comércio varejista de artigos do vestuário e acessórios;1
Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências;1
Transporte rodoviário de produtos perigosos;1
Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo;1.25
Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo;4
"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças";1.333333333
Ensino fundamental;1
Captação, tratamento e distribuição de água;1
Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica;1
Atividades de rádio;4.75
Transporte rodoviário de produtos perigosos;1
Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação;1
Comércio varejista de doces, balas, bombons e semelhantes;1
Administração pública em geral;1
Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;2
Cabeleireiros, manicure e pedicure;6
Comércio varejista de combustíveis para veículos automotores;1
Comércio varejista de calçados;1
Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas;1
Construção de rodovias e ferrovias;2
Condomínios prediais;1
Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação;6
Construção de edifícios;1
Comércio atacadista de cerveja, chope e refrigerante;1.4
Fabricação de azulejos e pisos;1
Serviço de corte e dobra de metais;1
Condomínios prediais;1
Serviços ambulantes de alimentação;1
Atividade médica ambulatorial com recursos para realização de exames complementares;1
Aluguel de palcos, coberturas e outras estruturas de uso temporário, exceto andaimes;1
Comércio a varejo de peças e acessórios novos para veículos automotores;1.166666667
Comércio varejista de vidros;4
Restaurantes e similares;1
Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências;1
Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;2
Serviços combinados para apoio a edifícios, exceto condomínios prediais;1.8
Gestão e manutenção de cemitérios;1
Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;7
Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente;1
Atividades associativas não especificadas anteriormente;2
Fornecimento de alimentos preparados preponderantemente para empresas;6.723404255
Condomínios prediais;1
Condomínios prediais;1
Lavanderias;1
Lavanderias;1.25
Lavanderias;1
Lavanderias;2
Lavanderias;1.2
Lavanderias;2
Fabricação de outros produtos alimentícios não especificados anteriormente;3.793103448
Atividade odontológica;1
Incorporação de empreendimentos imobiliários;9
Fabricação de vidro plano e de segurança;4.083333333
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Administração de obras;1
Construção de edifícios;2.454545455
Serviços de comunicação multimídia - SCM;1
Lanchonetes, casas de chá, de sucos e similares;1.666666667
Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação;1
Holdings de instituições não-financeiras;2
Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências;2.36
Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências;13.21428571
Atividades de apoio à gestão de saúde;2.764705882
Limpeza em prédios e em domicílios;1
Construção de estações e redes de telecomunicações;1
Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional;1
Condomínios prediais;1
Incorporação de empreendimentos imobiliários;1
Testes e análises técnicas;1
Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios;1
Fabricação de outros produtos de minerais não-metálicos não especificados anteriormente;1
Fabricação de produtos de trefilados de metal padronizados;1
Serviços combinados para apoio a edifícios, exceto condomínios prediais;2.037037037
Transporte escolar;1
Fabricação de laticínios;1
Construção de edifícios;2
Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal;1
Serviços de engenharia;1
Fabricação de partes para calçados, de qualquer material;7.5
Comércio varejista de outros produtos não especificados anteriormente;1
Atividades de cobranças e informações cadastrais;2
Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente;1
Obras de alvenaria;2.5
Fabricação de produtos de panificação industrial;1.222222222
Exploração de jogos eletrônicos recreativos;1.25
Educação infantil - pré-escola;1
Estacionamento de veículos;1
Comércio varejista de calçados;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.;7.5
Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios;1
Navegação de apoio marítimo;1
Comércio varejista de calçados;1
Atividades de organizações religiosas ou filosóficas;1
Restaurantes e similares;3
Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos;3
Comércio varejista de suvenires, bijuterias e artesanatos;1
Comércio varejista de artigos do vestuário e acessórios;1
Restaurantes e similares;1
Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências;15.36363636
Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios;5.714285714
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;3.5
Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis;1
Comércio varejista de artigos do vestuário e acessórios;1
Educação superior - graduação e pós-graduação;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1.5
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1.5
Comércio por atacado de caminhões novos e usados;1.4
Comércio por atacado de peças e acessórios novos para veículos automotores;1
Atividades de associações de defesa de direitos sociais;1
Comércio a varejo de automóveis, camionetas e utilitários novos;1.083333333
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;2
Comércio varejista de artigos do vestuário e acessórios;1
Comércio varejista de combustíveis para veículos automotores;1
Atividades relacionadas a esgoto, exceto a gestão de redes;1
Atividades de estética e outros serviços de cuidados com a beleza;1
Serviços combinados para apoio a edifícios, exceto condomínios prediais;1
Obras de montagem industrial;1
Comércio varejista de artigos do vestuário e acessórios;1
Fabricação de chapas e de embalagens de papelão ondulado;1
Restaurantes e similares;1.25
Educação infantil - pré-escola;1
Comércio atacadista de chocolates, confeitos, balas, bombons e semelhantes;1
Locação de mão-de-obra temporária;1
Comércio atacadista de cerveja, chope e refrigerante;1
Comércio atacadista de cerveja, chope e refrigerante;1
Atividades associativas não especificadas anteriormente;4.461538462
Fornecimento de alimentos preparados preponderantemente para consumo domiciliar;1
Serviços combinados para apoio a edifícios, exceto condomínios prediais;1
Fabricação de produtos de padaria e confeitaria com predominância de produção própria;1
Restaurantes e similares;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal;2
Educação infantil - pré-escola;3
Instalação e manutenção elétrica;7.555555556
Montagem e instalação de sistemas e equipamentos de iluminação e sinalização em vias públicas, portos e aeroportos;2
Lanchonetes, casas de chá, de sucos e similares;1
Comércio a varejo de automóveis, camionetas e utilitários novos;1
Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal;1.2
Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências;1
Comércio varejista de combustíveis para veículos automotores;2
Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida;1
Fabricação de móveis com predominância de madeira;1
Limpeza em prédios e em domicílios;1.866666667
Comércio varejista de calçados;1
Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida;2
Serviço de laboratório óptico;1
Condomínios prediais;1.4
Desenvolvimento de programas de computador sob encomenda;1
Serviços de engenharia;3
Comércio atacadista de sorvetes;1
Comércio atacadista de sorvetes;1
Serviços de usinagem, tornearia e solda;1
Comércio varejista de laticínios e frios;3
Educação profissional de nível técnico;3
Outras atividades de ensino não especificadas anteriormente;1
Comércio varejista de artigos do vestuário e acessórios;1.333333333
Instalação e manutenção de sistemas centrais de ar condicionado, de ventilação e refrigeração;1
Atividades de organizações religiosas ou filosóficas;1
Atividades de organizações religiosas ou filosóficas;1
Atividades de monitoramento de sistemas de segurança eletrônico;3
Serviços combinados de escritório e apoio administrativo;1
Manutenção e reparação de geradores, transformadores e motores elétricos;6
Comércio varejista de plantas e flores naturais;1
Lavanderias;1
Atividade médica ambulatorial com recursos para realização de exames complementares;1
Fabricação de produtos de padaria e confeitaria com predominância de produção própria;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;2.555555556
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;2
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;5.333333333
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1.333333333
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;5
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;2
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;2.666666667
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1
Gestão e administração da propriedade imobiliária;1
Seleção e agenciamento de mão-de-obra;1
Produção de laminados de alumínio;1.333333333
Lavanderias;1
Serviços de manutenção e reparação mecânica de veículos automotores;1
Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios;1
Serviços combinados de escritório e apoio administrativo;2.111111111
Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente, peças e acessórios;2.111111111
Lanchonetes, casas de chá, de sucos e similares;1
Instalação de máquinas e equipamentos industriais;2.363636364
Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;1
Promoção de vendas;1
Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente;1
Educação superior - graduação e pós-graduação;1
Manutenção e reparação de máquinas motrizes não-elétricas;2
Ensino de idiomas;1
Toalheiros;2
Atividades associativas não especificadas anteriormente;1
Serviço de corte e dobra de metais;1
Educação infantil - pré-escola;1
Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário;1
Fabricação de máquinas e equipamentos para a agricultura e pecuária, peças e acessórios, exceto para irrigação;1.25
Atividades de apoio à gestão de saúde;1.888888889
Atividades de apoio à gestão de saúde;1
Atividades de apoio à gestão de saúde;1
Serviços combinados para apoio a edifícios, exceto condomínios prediais;1
Atividades de contabilidade;1.333333333
Comércio a varejo de automóveis, camionetas e utilitários usados;1.714285714
Corretores e agentes de seguros, de planos de previdência complementar e de saúde;1
Locação de automóveis sem condutor;1.1
Aluguel de objetos do vestuário, jóias e acessórios;3
Transporte rodoviário coletivo de passageiros, com itinerário fixo, interestadual;1
Instalação e manutenção elétrica;1
Serviços advocatícios;1.5
Carga e descarga;2
Fornecimento e gestão de recursos humanos para terceiros;1
Condomínios prediais;5
Comércio varejista de artigos de joalheria;1
Construção de edifícios;1
Comércio varejista de artigos do vestuário e acessórios;1
Atividades veterinárias;2
Agenciamento de cargas, exceto para o transporte marítimo;1.25
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Locação de mão-de-obra temporária;1
Ensino médio;1
Condomínios prediais;1.2
Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente;1
Cartórios;1.25
Comércio varejista de outros produtos não especificados anteriormente;1
Serviços de instalação, manutenção e reparação de acessórios para veículos automotores;2
Comércio varejista de artigos do vestuário e acessórios;1
Comércio varejista de combustíveis para veículos automotores;1.5
Fornecimento e gestão de recursos humanos para terceiros;1
Educação infantil - creche;1
Fabricação de material elétrico para instalações em circuito de consumo;1
Hotéis;1
Comércio atacadista de cosméticos e produtos de perfumaria;1.666666667
Administração de consórcios para aquisição de bens e direitos;1
Serviços de usinagem, tornearia e solda;1
Atividades de assistência a deficientes físicos, imunodeprimidos e convalescentes;2
Educação infantil - pré-escola;1
Hotéis;1
Lanchonetes, casas de chá, de sucos e similares;1
Lanchonetes, casas de chá, de sucos e similares;1.333333333
Comércio varejista de materiais de construção em geral;4.25
Comércio varejista de artigos do vestuário e acessórios;1
Atividades associativas não especificadas anteriormente;1
Serviços de diagnóstico por imagem com uso de radiação ionizante, exceto tomografia;1
Comércio varejista de materiais de construção em geral;1
Lanchonetes, casas de chá, de sucos e similares;1
Educação infantil - pré-escola;1
Obras de urbanização - ruas, praças e calçadas;1.636363636
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.;2
Administração pública em geral;1
Gestão de ativos intangíveis não-financeiros;1
Fornecimento de alimentos preparados preponderantemente para empresas;1.666666667
Comércio por atacado de pneumáticos e câmaras-de-ar;1
Hotéis;3
Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;1
Fabricação de azulejos e pisos;3
Comércio varejista de artigos de óptica;1
Gestão e administração da propriedade imobiliária;1
Comércio atacadista especializado de materiais de construção não especificados anteriormente;1
Impressão de jornais;1
Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente;1
Atividades de associações de defesa de direitos sociais;1
Atividades de teleatendimento;1
Atividades de teleatendimento;3.884615385
Atividades de teleatendimento;5.875
Ensino de idiomas;1.333333333
Educação superior - graduação e pós-graduação;1
Serviços combinados de escritório e apoio administrativo;1
Hotéis;2.25
Comércio varejista de combustíveis para veículos automotores;1
Comércio varejista de combustíveis para veículos automotores;1
Construção de edifícios;1
Serviços combinados de escritório e apoio administrativo;1
Comércio varejista de artigos de papelaria;1
Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários;1
Lanchonetes, casas de chá, de sucos e similares;1
Montagem de estruturas metálicas;1
Seleção e agenciamento de mão-de-obra;1.6
Comércio varejista de ferragens e ferramentas;9.5
Serviços de diagnóstico por imagem com uso de radiação ionizante, exceto tomografia;1
Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários;1
Atividades de teleatendimento;1
Restaurantes e similares;1.625
Fabricação de sabões e detergentes sintéticos;1
Comércio por atacado de caminhões novos e usados;1.428571429
Treinamento em informática;1
Comércio varejista de combustíveis para veículos automotores;1.5
Construção de edifícios;1
Comércio atacadista de resíduos e sucatas metálicos;1
Coleta de resíduos não-perigosos;2
Comércio varejista de suvenires, bijuterias e artesanatos;1
Comércio varejista de suvenires, bijuterias e artesanatos;1
Comércio varejista especializado de equipamentos de telefonia e comunicação;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;2.333333333
Educação infantil - pré-escola;1
Comércio varejista especializado de equipamentos de telefonia e comunicação;1.333333333
Comércio varejista de doces, balas, bombons e semelhantes;1
Fabricação de artefatos de material plástico para usos industriais;1
Comércio varejista de medicamentos veterinários;2
Atividades de associações de defesa de direitos sociais;1
Atividade odontológica;1
Atividade odontológica;1.5
Outras atividades auxiliares dos transportes terrestres não especificadas anteriormente;1
Construção de edifícios;1
Construção de edifícios;1
Comércio atacadista de produtos alimentícios em geral;1
Hotéis;1
Fabricação de artefatos de tanoaria e de embalagens de madeira;1.2
Incorporação de empreendimentos imobiliários;1.25
Atividades de condicionamento físico;1
Usinas de compostagem;1.846153846
Salas de acesso à internet;2
Atividades de condicionamento físico;1
Atividades de condicionamento físico;1
Instalação e manutenção elétrica;1
Produção de relaminados, trefilados e perfilados de aço, exceto arames;1
Produção de artefatos estampados de metal;1.166666667
Atividades de fisioterapia;1
Construção de rodovias e ferrovias;1
Serviços de diagnóstico por imagem com uso de radiação ionizante, exceto tomografia;1
Desenvolvimento e licenciamento de programas de computador customizáveis;1.6
Corretagem no aluguel de imóveis;3.5
Promoção de vendas;1.5
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1.333333333
Manutenção e reparação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas;1
Construção de edifícios;2
Comércio atacadista de ferragens e ferramentas;2.5
Construção de edifícios;1
Comércio varejista de combustíveis para veículos automotores;1.5
Serviços de engenharia;2
Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente;1
Comércio varejista de combustíveis para veículos automotores;1
Comércio varejista de calçados;1
Serviços combinados para apoio a edifícios, exceto condomínios prediais;1
Comércio atacadista de produtos alimentícios em geral;3
Armazéns gerais - emissão de warrant;3.235294118
Serviços de engenharia;4.2
Serviços combinados para apoio a edifícios, exceto condomínios prediais;1
Atividades de teleatendimento;1
Obras de alvenaria;5
Fabricação de móveis com predominância de madeira;1.5
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Serviços combinados de escritório e apoio administrativo;7
Outros representantes comerciais e agentes do comércio especializado em produtos não especificados anteriormente;1
Comercio varejista de artigos de cama, mesa e banho;1
Atividades associativas não especificadas anteriormente;1
Educação infantil - creche;2.5
Ensino fundamental;2.25
Condomínios prediais;1
Atividades de limpeza não especificadas anteriormente;1
Hotéis;1.2
Serviços de assistência social sem alojamento;1
Instituições de longa permanência para idosos;1
Instituições de longa permanência para idosos;1
Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal;253
Locação de mão-de-obra temporária;1
Atividades de vigilância e segurança privada;1
Comércio a varejo de peças e acessórios novos para veículos automotores;1
Cartórios;1.25
Condomínios prediais;1.333333333
Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação;1
Atividades associativas não especificadas anteriormente;1
Restaurantes e similares;6.5
Limpeza em prédios e em domicílios;2
Condomínios prediais;1
Restaurantes e similares;2
